max_t,steps,delta,graph_order,actual_energy,estimated_energy
1.0,1,1.0,3,1.6499330898744214e-16,1.5000000000000004
1.0,2,0.5,3,1.6499330898744214e-16,1.3813882235815886
1.0,4,0.25,3,1.6499330898744214e-16,1.3347421173407636
1.0,4,0.2,3,1.6499330898744214e-16,1.3271898965986522
1.0,9,0.1,3,1.6499330898744214e-16,1.314402138016115
1.0,19,0.05,3,1.6499330898744214e-16,1.309309930858978
1.0,99,0.01,3,1.6499330898744214e-16,1.3059269201700143
2.0,2,1.0,3,1.6499330898744214e-16,1.096577319888666
2.0,4,0.5,3,1.6499330898744214e-16,0.954527475745047
2.0,8,0.25,3,1.6499330898744214e-16,0.9017888429813046
2.0,9,0.2,3,1.6499330898744214e-16,0.8933397443463411
2.0,19,0.1,3,1.6499330898744214e-16,0.8789134757616639
2.0,39,0.05,3,1.6499330898744214e-16,0.8730317717649192
2.0,199,0.01,3,1.6499330898744214e-16,0.8690088555672868
3.0,3,1.0,3,1.6499330898744214e-16,0.6906041782467063
3.0,6,0.5,3,1.6499330898744214e-16,0.585534453513517
3.0,12,0.25,3,1.6499330898744214e-16,0.5499361209019082
3.0,14,0.2,3,1.6499330898744214e-16,0.5447273081199486
3.0,29,0.1,3,1.6499330898744214e-16,0.5365273718548775
3.0,59,0.05,3,1.6499330898744214e-16,0.5336139323395659
3.0,299,0.01,3,1.6499330898744214e-16,0.5318879746870138
1.0,1,1.0,4,1.0,3.0156250000001394
1.0,2,0.5,4,1.0,2.729968228780319
1.0,4,0.25,4,1.0,2.619315980061944
1.0,4,0.2,4,1.0,2.6016064409389807
1.0,9,0.1,4,1.0,2.571885694807995
1.0,19,0.05,4,1.0,2.560209184554346
1.0,99,0.01,4,1.0,2.552548736069052
2.0,2,1.0,4,1.0,2.066264737661137
2.0,4,0.5,4,1.0,1.7611628136843178
2.0,8,0.25,4,1.0,1.6573710015887475
2.0,9,0.2,4,1.0,1.6416798771001313
2.0,19,0.1,4,1.0,1.6159802438028297
2.0,39,0.05,4,1.0,1.6061193061419228
2.0,199,0.01,4,1.0,1.5997298213850617
3.0,3,1.0,4,1.0,1.274488519857507
3.0,6,0.5,4,1.0,1.1228138233573144
3.0,12,0.25,4,1.0,1.0803763127544785
3.0,14,0.2,4,1.0,1.0750702558212062
3.0,29,0.1,4,1.0,1.0678969544420978
3.0,59,0.05,4,1.0,1.0660957894414678
3.0,299,0.01,4,1.0,1.0655428139523313
1.0,1,1.0,5,2.0,5.078125000011547
1.0,2,0.5,5,2.0,4.592076216526027
1.0,4,0.25,5,2.0,4.410717654458946
1.0,4,0.2,5,2.0,4.382640689652344
1.0,9,0.1,5,2.0,4.336821090510364
1.0,19,0.05,5,2.0,4.319611186990842
1.0,99,0.01,5,2.0,4.308812854730372
2.0,2,1.0,5,2.0,3.5558150579637235
2.0,4,0.5,5,2.0,3.17616950473622
2.0,8,0.25,5,2.0,3.096818841231894
2.0,9,0.2,5,2.0,3.0905772817194075
2.0,19,0.1,5,2.0,3.0875918091485546
2.0,39,0.05,5,2.0,3.090729709633546
2.0,199,0.01,5,2.0,3.095387319997614
3.0,3,1.0,5,2.0,2.931756034815681
3.0,6,0.5,5,2.0,3.101318124676722
3.0,12,0.25,5,2.0,3.2367372977763655
3.0,14,0.2,5,2.0,3.264854618653935
3.0,29,0.1,5,2.0,3.3201982946200155
3.0,59,0.05,5,2.0,3.3469287033904647
3.0,299,0.01,5,2.0,3.367637382284395
