graph_order,clique_iset_orders,time_seconds
1,"(2, 2)",0.000630467
2,"(2, 2)",0.000894354
3,"(2, 2)",0.001543119
4,"(2, 2)",0.002661661
5,"(2, 2)",0.005733202
6,"(2, 2)",0.006734149
7,"(2, 2)",0.009578602
1,"(2, 3)",0.000166192
2,"(2, 3)",0.000539172
3,"(2, 3)",0.001193438
4,"(2, 3)",0.003129837
5,"(2, 3)",0.006284673
6,"(2, 3)",0.012018175
7,"(2, 3)",0.020978808
1,"(3, 2)",0.000202589
2,"(3, 2)",0.000421778
3,"(3, 2)",0.001244935
4,"(3, 2)",0.003027942
5,"(3, 2)",0.00634847
6,"(3, 2)",0.012173467
7,"(3, 2)",0.019905265
1,"(3, 3)",0.000156492
2,"(3, 3)",0.000218988
3,"(3, 3)",0.00116944
4,"(3, 3)",0.003958794
5,"(3, 3)",0.008706347
6,"(3, 3)",0.016954217
7,"(3, 3)",0.030125232
1,"(2, 2)",0.000159092
2,"(2, 2)",0.000858556
3,"(2, 2)",0.001632515
4,"(2, 2)",0.002747757
5,"(2, 2)",0.004210981
6,"(2, 2)",0.006070184
7,"(2, 2)",0.008570854
1,"(2, 3)",0.000159092
2,"(2, 3)",0.000566571
3,"(2, 3)",0.001140941
4,"(2, 3)",0.002902848
5,"(2, 3)",0.006108982
6,"(2, 3)",0.012162267
7,"(2, 3)",0.020099154
1,"(3, 2)",0.000162391
2,"(3, 2)",0.000694564
3,"(3, 2)",0.001431325
4,"(3, 2)",0.003661509
5,"(3, 2)",0.006457864
6,"(3, 2)",0.011713991
7,"(3, 2)",0.018874917
1,"(3, 3)",0.000157792
2,"(3, 3)",0.000295484
3,"(3, 3)",0.001047045
4,"(3, 3)",0.003393623
5,"(3, 3)",0.008548156
6,"(3, 3)",0.016899621
7,"(3, 3)",0.030018438
1,"(2, 2)",0.00018018999
2,"(2, 2)",0.000857655
3,"(2, 2)",0.001495722
4,"(2, 2)",0.002685561
5,"(2, 2)",0.00421448
6,"(2, 2)",0.00633667
7,"(2, 2)",0.008929935
1,"(2, 3)",0.000159392
2,"(2, 3)",0.000455077
3,"(2, 3)",0.001303633
4,"(2, 3)",0.002962746
5,"(2, 3)",0.006391567
6,"(2, 3)",0.012141068
7,"(2, 3)",0.0192154
1,"(3, 2)",0.000244087
2,"(3, 2)",0.000600468
3,"(3, 2)",0.001587717
4,"(3, 2)",0.003156035
5,"(3, 2)",0.006483962
6,"(3, 2)",0.011728889
7,"(3, 2)",0.019166503
1,"(3, 3)",0.000268386
2,"(3, 3)",0.000308184
3,"(3, 3)",0.001073844
4,"(3, 3)",0.00346132
5,"(3, 3)",0.008683249
6,"(3, 3)",0.016867023
7,"(3, 3)",0.029654257
1,"(2, 2)",0.000164091
2,"(2, 2)",0.000793159
3,"(2, 2)",0.001469823
4,"(2, 2)",0.002470971
5,"(2, 2)",0.004201381
6,"(2, 2)",0.006331971
7,"(2, 2)",0.00864555
1,"(2, 3)",0.000181691
2,"(2, 3)",0.000454876
3,"(2, 3)",0.001446625
4,"(2, 3)",0.003850499
5,"(2, 3)",0.006610056
6,"(2, 3)",0.012048273
7,"(2, 3)",0.019328594
1,"(3, 2)",0.000162992
2,"(3, 2)",0.000590169
3,"(3, 2)",0.001256035
4,"(3, 2)",0.003092839
5,"(3, 2)",0.006597757
6,"(3, 2)",0.011629295
7,"(3, 2)",0.019732874
1,"(3, 3)",0.000160491
2,"(3, 3)",0.000273386
3,"(3, 3)",0.001066645
4,"(3, 3)",0.003388423
5,"(3, 3)",0.009009831
6,"(3, 3)",0.017761875
7,"(3, 3)",0.029823449
1,"(2, 2)",0.00019829
2,"(2, 2)",0.000816258
3,"(2, 2)",0.0013978269
4,"(2, 2)",0.002473271
5,"(2, 2)",0.004162883
6,"(2, 2)",0.00691164
7,"(2, 2)",0.008582553
1,"(2, 3)",0.000158092
2,"(2, 3)",0.000503973
3,"(2, 3)",0.001501421
4,"(2, 3)",0.003243131
5,"(2, 3)",0.006107382
6,"(2, 3)",0.011676592
7,"(2, 3)",0.019522185
1,"(3, 2)",0.000162392
2,"(3, 2)",0.000514274
3,"(3, 2)",0.001380328
4,"(3, 2)",0.003574214
5,"(3, 2)",0.00730452
6,"(3, 2)",0.012538147
7,"(3, 2)",0.020240447
1,"(3, 3)",0.000159092
2,"(3, 3)",0.000298685
3,"(3, 3)",0.001210137
4,"(3, 3)",0.003818502
5,"(3, 3)",0.008589853
6,"(3, 3)",0.0172956
7,"(3, 3)",0.031780448
