max_t,steps,delta,graph_order,actual_energy,estimated_energy
1.0,1,1.0,3,1.6499330898744214e-16,1.5000000000000004
1.0,4,0.2,3,1.6499330898744214e-16,1.3271898965986522
1.0,9,0.1,3,1.6499330898744214e-16,1.314402138016115
1.0,19,0.05,3,1.6499330898744214e-16,1.309309930858978
1.0,30,0.03333333333333333,3,1.6499330898744214e-16,1.3078232271164132
1.0,39,0.025,3,1.6499330898744214e-16,1.3071208873032654
1.0,49,0.02,3,1.6499330898744214e-16,1.3067127994282088
2.0,1,2.0,3,1.6499330898744214e-16,1.5000000000000007
2.0,4,0.4,3,1.6499330898744214e-16,0.9315146524429556
2.0,9,0.2,3,1.6499330898744214e-16,0.8933397443463411
2.0,19,0.1,3,1.6499330898744214e-16,0.8789134757616639
2.0,30,0.06666666666666667,3,1.6499330898744214e-16,0.874889008028211
2.0,39,0.05,3,1.6499330898744214e-16,0.8730317717649192
2.0,49,0.04,3,1.6499330898744214e-16,0.8719680397162084
3.0,1,3.0,3,1.6499330898744214e-16,1.5000000000000004
3.0,5,0.6,3,1.6499330898744214e-16,0.6035436091464176
3.0,10,0.3,3,1.6499330898744214e-16,0.5558325006755651
3.0,20,0.15,3,1.6499330898744214e-16,0.5402447715389651
3.0,29,0.1,3,1.6499330898744214e-16,0.5365273718548775
3.0,40,0.075,3,1.6499330898744214e-16,0.5349677374878365
3.0,50,0.06,3,1.6499330898744214e-16,0.5341304462317138
1.0,1,1.0,4,1.0,3.0156250000001394
1.0,4,0.2,4,1.0,2.6016064409389807
1.0,9,0.1,4,1.0,2.571885694807995
1.0,19,0.05,4,1.0,2.560209184554346
1.0,30,0.03333333333333333,4,1.0,2.5568300391071976
1.0,39,0.025,4,1.0,2.555240115933267
1.0,49,0.02,4,1.0,2.5543184890655874
2.0,1,2.0,4,1.0,3.0156250000001723
2.0,4,0.4,4,1.0,1.7148900981159738
2.0,9,0.2,4,1.0,1.6416798771001313
2.0,19,0.1,4,1.0,1.6159802438028297
2.0,30,0.06666666666666667,4,1.0,1.609177811566857
2.0,39,0.05,4,1.0,1.6061193061419228
2.0,49,0.04,4,1.0,1.6043953513335605
3.0,1,3.0,4,1.0,3.0156250000001705
3.0,5,0.6,4,1.0,1.1466165234650483
3.0,10,0.3,4,1.0,1.0867854331014968
3.0,20,0.15,4,1.0,1.0708995587336145
3.0,29,0.1,4,1.0,1.0678969544420978
3.0,40,0.075,4,1.0,1.066844078665944
3.0,50,0.06,4,1.0,1.06635828113401
1.0,1,1.0,5,2.0,5.078125000011547
1.0,4,0.2,5,2.0,4.382640689652344
1.0,9,0.1,5,2.0,4.336821090510364
1.0,19,0.05,5,2.0,4.319611186990842
1.0,30,0.03333333333333333,5,2.0,4.314782595989145
1.0,39,0.025,5,2.0,4.312543704162936
1.0,49,0.02,5,2.0,4.311257140226078
2.0,1,2.0,5,2.0,5.078125000011994
2.0,4,0.4,5,2.0,3.134842716538885
2.0,9,0.2,5,2.0,3.0905772817194075
2.0,19,0.1,5,2.0,3.0875918091485546
2.0,30,0.06666666666666667,5,2.0,3.08934835418872
2.0,39,0.05,5,2.0,3.090729709633546
2.0,49,0.04,5,2.0,3.091717529233129
3.0,1,3.0,5,2.0,5.078125000011687
3.0,5,0.6,5,2.0,3.053653096761425
3.0,10,0.3,5,2.0,3.208651572345533
3.0,20,0.15,5,2.0,3.292757688091452
3.0,29,0.1,5,2.0,3.3201982946200155
3.0,40,0.075,5,2.0,3.333667656390013
3.0,50,0.06,5,2.0,3.341651235738983
